instname,housed_under,college,school,department,program_area,program_level,cip_program,website_inst,website_program,website_catalog,course_titles
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Multimedia Systems and Applications
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Image Processing
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Computer Graphics and Animation
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Fuzzy and Expert Systems
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Wireless and Mobile Computing
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Cooperative Educational Work Experience
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Advanced Topics in Computer Science
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Independent Study
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Design & Analysis of Algorithms
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Object Oriented Programming & Design
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Computer Architecture
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Operating System Principles
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Database Management Systems
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Software Engineering Methodology
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Thesis
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Management Information Systems
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Numerical Analysis
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Applications of Statistical Methods
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Compiler Design
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Advanced Data Structures
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Cyber Security Fundamentals
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Introduction to Bioinformatics
